,City,Latitutde,Temp,Humidity,Cloudiness,Wind Speed
157,torbay,47.66,33.8,86,20,7.76
158,baruun-urt,46.68,67.77,28,0,17.36
159,pisco,-13.71,64.4,88,75,4.7
160,sitka,37.17,76.32,57,20,19.26
161,petropavlovsk-kamchatskiy,53.05,53.6,50,20,13.42
162,guamuchil,25.47,84.06,64,20,6.96
163,naze,5.43,75.2,100,75,2.71
164,cayenne,4.94,73.4,100,0,1.12
165,broome,52.47,45.75,93,24,6.93
166,plouzane,48.38,53.6,100,90,3.36
167,pinawa,50.15,40.5,100,92,11.43
168,upernavik,72.79,29.06,100,0,10.22
169,kropotkin,45.43,66.06,94,20,4.5
170,charlottesville,38.03,70.66,78,1,5.82
171,barrow,-38.31,43.91,70,0,5.41
172,saldanha,41.42,44.36,70,0,5.53
173,bud,62.91,44.65,87,75,12.75
174,hilo,19.71,70.74,72,90,11.99
175,sandwick,54.57,48.15,98,92,2.71
176,umba,66.69,37.44,100,88,15.68
177,oktyabrskiy,55.61,47.77,93,90,8.95
178,dakar,14.69,80.6,94,20,4.5
179,sur,22.57,83.33,92,0,6.87
180,great yarmouth,52.61,44.6,93,8,6.93
181,abonnema,4.71,75.2,100,75,3.38
182,xining,36.62,51.75,65,0,2.59
183,bella union,8.5,65.07,98,92,0.92
184,palmer,-34.85,64.4,55,75,14.99
185,northam,51.04,53.82,98,20,7.85
186,mairana,-18.12,59.22,98,92,2.26
187,boddam,57.47,44.6,70,75,5.82
188,songjianghe,42.18,61.65,65,0,4.16
189,georgetown,6.8,75.2,100,0,2.24
190,kalmunai,7.42,87.39,74,20,4.61
191,saskylakh,71.97,26.09,94,76,4.07
192,eyl,7.98,78.57,83,64,12.44
193,kodiak,39.95,77.0,76,1,9.17
194,niamey,13.52,82.4,74,0,5.82
195,atar,20.52,79.65,41,56,3.71
196,cidreira,-30.17,61.28,100,92,11.34
197,opunake,-39.45,54.72,91,24,11.88
198,richards bay,-28.77,66.15,69,92,15.9
199,tongchuan,34.9,68.0,42,0,6.71
200,hwange,-18.35,71.91,31,0,4.94
201,kaka,37.35,72.27,44,0,2.48
202,tuatapere,-46.13,51.29,89,0,17.83
203,whitehorse,60.72,32.0,70,75,3.36
204,boden,65.83,33.8,86,75,8.05
205,yamada,36.58,73.4,53,20,11.41
206,nanortalik,60.14,33.56,100,92,2.17
207,ambon,47.55,59.0,87,90,4.7
208,monrovia,6.33,74.24,98,92,5.75
209,rio grande,-32.03,55.71,99,36,7.96
210,veliki preslav,43.16,54.81,86,0,10.2
211,margate,-43.03,57.2,54,20,20.8
212,avarua,-21.21,71.6,53,40,11.41
213,klin,56.34,48.2,93,75,6.71
214,platanos,35.47,62.6,100,40,8.63
215,coquimbo,-29.95,51.8,87,0,8.66
216,khandyga,62.65,37.7,87,80,4.41
217,husavik,50.56,40.23,100,92,11.32
218,barcelos,41.53,61.14,53,0,11.41
219,kirzhach,56.16,47.52,99,92,11.65
220,namibe,-15.19,66.86,100,12,3.96
221,mongo,4.83,66.69,100,92,3.6
222,verkhnyaya inta,65.99,40.95,97,88,4.61
223,kruisfontein,-34.0,60.75,80,100,8.75
224,baykit,61.68,35.01,63,88,12.44
225,chekhov,55.14,47.61,93,90,8.95
226,souris,46.36,50.0,81,90,9.17
227,kupang,-10.16,87.02,66,0,11.68
228,pamanukan,-6.28,83.25,100,0,11.21
229,nowy dwor gdanski,54.21,44.6,87,75,19.46
230,grants pass,42.44,61.52,56,90,6.93
231,udachnyy,66.42,36.45,84,92,5.39
232,bauchi,10.31,67.5,89,0,3.04
233,puerto ayora,-0.74,70.38,100,48,7.74
234,tsiroanomandidy,-18.77,73.98,43,0,3.94
235,komsomolskiy,67.55,37.53,100,68,14.45
236,portland,45.52,54.45,61,40,3.36
237,hami,42.84,64.52,40,36,6.31
238,tieli,46.98,62.37,61,0,4.16
239,honggang,29.51,75.06,39,0,4.16
240,bandarbeyla,9.49,77.76,92,0,10.42
241,hoima,1.43,69.39,95,24,4.16
242,oranjemund,-28.55,58.95,87,0,23.85
243,tangjiazhuang,33.27,65.61,37,76,2.37
244,susaki,33.42,77.0,50,20,9.17
245,boa vista,2.82,82.4,69,0,5.82
246,hun,50.34,52.88,93,20,4.7
247,esterhazy,50.65,31.41,97,92,5.61
248,chervishevo,56.95,46.4,75,0,6.71
249,takoradi,4.89,76.04,99,48,5.64
250,moerai,-22.43,69.84,100,0,20.49
251,esperance,10.24,77.0,94,20,4.94
252,albury,-36.08,64.0,100,75,8.05
253,lavrentiya,65.58,46.62,90,92,29.77
254,manger,7.17,74.61,94,80,4.72
255,salinas,36.67,64.85,81,90,8.05
256,charters towers,-20.07,79.02,49,0,9.64
257,estelle,32.87,76.91,73,40,8.05
258,mandalgovi,45.76,59.22,58,0,14.0
259,danane,7.26,69.84,100,76,3.83
260,bonthe,7.53,75.87,100,92,3.71
261,palana,59.08,40.95,98,92,6.4
262,dekar,-21.53,70.02,25,0,3.94
263,twin falls,42.57,62.01,40,1,10.29
264,sao jose da coroa grande,-8.9,73.17,100,88,5.5
265,victor harbor,-35.55,64.4,55,75,14.99
266,marawi,8.0,76.31,90,68,3.29
267,umm kaddadah,13.6,76.23,72,0,9.86
268,challapata,-18.9,25.92,65,0,3.71
269,parkes,-33.14,69.21,49,64,12.44
270,chuy,-33.69,43.74,95,0,2.04
271,kathmandu,27.71,71.6,73,20,2.24
272,horqueta,-23.34,71.01,91,92,3.6
273,port augusta,-32.49,62.6,77,40,20.8
274,faanui,-16.48,77.31,100,24,26.87
275,omboue,-1.57,78.21,100,100,4.94
276,vao,59.1,42.92,100,92,7.54
277,hirara,24.8,79.74,65,75,20.8
278,berlevag,70.86,38.07,100,92,13.44
279,mwinilunga,-11.73,68.22,52,0,3.49
280,sines,37.96,66.33,94,0,4.72
281,seoul,37.57,70.65,40,20,4.7
282,tinyahuarco,-10.75,34.47,90,48,1.92
283,guerrero negro,27.97,63.99,97,0,2.48
284,segou,12.41,71.37,94,0,2.71
285,dunedin,-45.87,51.3,82,0,1.14
286,hereford,52.06,52.11,93,32,9.64
287,karratha,-20.74,92.96,23,20,8.77
288,kulunda,52.57,53.64,53,36,8.41
289,saint-francois,46.42,51.8,87,90,1.12
290,avera,33.19,72.07,96,1,5.75
291,yinchuan,38.48,69.21,29,0,5.06
292,solwezi,-12.18,68.04,49,0,9.19
293,coahuayana,18.62,66.96,80,36,1.92
294,guanica,17.97,78.48,100,80,4.72
295,mayo,63.59,26.6,63,20,2.48
296,quelimane,-17.88,68.0,94,40,2.24
297,san vicente de canete,-13.08,56.25,90,20,0.47
298,aklavik,68.22,28.4,79,40,5.82
299,pilar,-34.46,52.18,71,0,5.82
300,alofi,-19.06,77.0,69,0,16.11
301,coihaique,-45.58,40.8,75,40,5.82
302,ovsyanka,53.58,59.67,30,0,6.4
303,columbus,32.46,72.32,70,1,4.27
304,mlonggo,-6.53,87.56,74,0,5.41
305,keti bandar,24.14,82.17,95,0,11.99
306,mawlaik,23.63,82.35,80,36,2.71
307,lira,2.25,68.49,98,44,4.61
308,ambilobe,-13.19,84.24,39,0,5.17
309,saint-joseph,43.56,52.83,71,0,4.7
310,puerto rondon,6.28,74.07,92,64,2.82
311,novikovo,45.05,62.64,100,36,9.31
312,oranjestad,12.52,84.2,79,20,14.99
313,carutapera,-1.2,78.93,83,8,10.2
314,new smyrna beach,29.03,76.86,76,20,4.7
315,tazovskiy,67.47,34.47,85,36,10.87
316,cururupu,-1.82,77.04,86,0,8.19
317,mount isa,-20.73,91.4,18,0,8.05
318,sao filipe,14.9,78.3,97,8,12.66
319,wanning,48.64,51.8,76,75,11.41
320,kabare,-1.65,67.86,73,68,5.73
321,visnes,59.36,45.14,87,75,13.87
322,tambo,-24.88,82.44,26,0,7.85
323,tabou,4.42,77.49,100,92,7.63
324,port hedland,-20.31,95.0,28,0,18.34
325,itarema,-2.92,76.13,83,0,15.26
326,zholymbet,51.74,52.56,58,20,5.28
327,klaksvik,62.23,37.4,86,0,10.67
328,tanout,14.97,74.52,64,8,1.92
329,clyde river,70.47,24.8,85,90,5.82
330,ponta do sol,-20.63,64.62,95,68,2.37
331,buala,-8.15,82.08,94,64,4.05
332,vestmanna,62.16,37.4,86,44,3.38
333,alice springs,-23.7,91.4,10,0,17.22
334,airai,-8.93,83.51,47,36,1.16
335,port-gentil,-0.72,76.76,100,88,3.96
336,talnakh,69.49,31.67,100,0,12.01
337,staraya poltavka,50.48,57.24,97,92,11.43
338,bilibino,68.06,34.91,87,0,3.06
339,makakilo city,21.35,81.05,74,1,5.82
340,lagos,6.46,77.0,94,20,2.24
341,khatanga,71.98,33.39,95,88,8.86
342,waipawa,-39.94,59.85,52,68,1.14
343,vydrino,51.46,48.24,92,88,14.67
344,belle fourche,44.67,59.0,93,75,6.29
345,tira sujanpur,31.83,82.44,59,0,2.71
346,totma,59.98,45.54,96,92,12.66
347,kailua,21.39,81.05,76,75,6.93
348,havre-saint-pierre,50.23,32.0,88,75,3.36
349,havelock,34.88,70.97,97,1,4.61
350,labytnangi,66.66,36.54,95,76,7.4
351,hinton,53.4,24.83,74,88,2.73
352,caceres,5.53,66.15,100,92,1.92
353,acajutla,13.59,72.54,95,36,3.38
354,hendersonville,36.3,69.84,90,1,3.36
355,uige,-7.61,66.24,97,44,2.93
356,handan,36.58,83.97,29,0,6.17
357,santa maria,-29.69,59.0,82,90,12.75
358,mastic beach,40.77,65.46,93,90,3.36
359,chama,-11.22,71.55,67,0,8.86
360,patiya,22.3,87.8,70,75,1.36
361,prieska,-29.67,52.92,49,0,16.69
362,igrim,63.19,44.73,82,76,6.73
363,laguna,27.52,80.81,67,0,3.62
364,ulaanbaatar,47.92,55.4,28,0,2.24
365,davila,18.47,86.0,58,20,9.17
366,hay river,60.82,30.2,54,75,10.29
367,ahipara,-35.17,62.45,78,92,0.49
368,douglas,31.34,68.0,67,1,6.93
369,lazaro cardenas,28.39,68.0,77,5,3.36
370,neuquen,-38.95,50.0,39,0,11.41
371,ntungamo,-0.87,65.79,90,76,2.15
372,mirnyy,56.57,48.51,100,76,11.21
373,fujieda,34.93,71.82,76,88,3.38
374,padang,-0.92,81.81,100,12,8.3
375,chapais,49.78,41.0,80,90,6.93
376,iberia,-11.41,76.32,85,12,2.15
377,carlyle,49.63,33.8,100,90,6.93
378,moron,10.49,77.0,88,40,2.71
379,farafangana,-22.82,72.36,100,68,9.98
380,victoria,5.28,83.19,79,90,7.43
381,thinadhoo,0.53,80.36,100,64,21.74
382,uralets,57.66,47.88,71,48,8.75
383,san cristobal,-0.39,51.8,93,75,3.36
384,hambantota,6.12,79.82,100,12,4.63
385,santa cruz,36.97,67.44,72,90,4.7
386,leh,34.16,27.54,38,24,1.59
387,paamiut,61.99,36.72,100,92,5.84
388,lakes entrance,-37.88,60.75,80,76,6.17
389,puri,-7.54,87.8,55,40,9.17
390,zaria,11.11,72.0,98,68,8.41
391,meulaboh,4.14,81.89,100,32,2.62
392,grindavik,63.84,35.6,74,0,5.82
393,zhangye,38.94,62.37,53,0,4.5
394,yumen,40.29,66.42,24,0,13.11
395,mezhova,48.26,60.57,92,64,9.08
396,manggar,-2.88,90.27,61,0,13.44
397,isla mujeres,21.23,82.4,78,75,6.93
398,halifax,44.65,51.8,93,90,18.34
399,souillac,45.6,56.03,82,90,4.7
400,tessalit,20.2,71.37,43,20,4.61
401,makinsk,52.63,50.94,62,36,7.29
402,pervomayskoye,57.07,44.28,76,76,10.65
403,ucluelet,48.94,39.87,93,0,2.37
404,lata,30.78,62.1,77,0,1.92
405,kasangulu,-4.59,73.4,83,75,2.37
406,port blair,11.67,85.59,100,8,5.06
407,belmopan,17.25,74.07,98,92,0.58
408,puerto narino,-3.77,77.0,94,75,2.24
409,pochutla,15.74,82.62,100,32,7.07
410,beatrice,40.27,68.58,78,1,9.17
411,ancud,-41.87,40.58,89,48,4.07
412,leshukonskoye,64.9,45.45,97,88,6.62
413,tecoanapa,16.99,84.2,79,75,5.82
414,orotukan,62.26,29.52,96,0,2.71
415,harper,30.3,74.16,84,1,3.36
416,freeport,26.54,81.98,99,80,17.05
417,trairi,-3.28,78.66,100,68,20.83
418,maningrida,-12.05,84.96,64,0,16.58
419,tshikapa,-6.42,73.17,89,0,2.93
420,mazamet,43.49,59.0,41,75,11.41
421,mayumba,-3.44,75.42,99,92,3.04
422,yantal,56.85,36.09,98,88,5.5
423,cap malheureux,-19.98,75.2,64,40,9.17
424,peniche,39.36,65.34,44,0,3.36
425,vila franca do campo,37.72,69.8,88,40,13.87
426,tautira,-17.73,78.8,61,75,5.82
427,velikiy ustyug,60.76,46.53,99,80,10.98
428,san policarpo,12.18,81.99,97,88,8.41
429,oksfjord,70.24,35.6,74,75,5.82
430,ixtapa,20.71,82.4,88,40,0.38
431,mount gambier,-37.83,58.85,90,76,7.2
432,taganak,6.08,89.6,62,75,4.7
433,puerto carreno,6.19,84.2,79,20,2.15
434,kenai,60.55,53.51,58,75,6.93
435,port macquarie,-31.43,75.2,53,64,13.87
436,kendallville,41.44,57.0,100,1,2.93
437,san andres del rabanedo,42.61,44.6,77,0,2.24
438,yoichi,43.19,68.0,52,75,11.41
439,rocha,-34.48,36.81,83,0,3.27
440,colac,-38.34,56.07,78,76,6.85
441,dabeiba,7.0,65.61,94,76,1.92
442,fukue,35.03,75.2,53,75,3.36
443,seymchan,62.93,29.25,99,0,2.71
444,wiarton,44.74,50.0,93,90,3.36
445,alyangula,-13.85,83.52,83,0,13.44
446,price,39.6,59.0,100,90,8.05
447,quatre cocos,-20.21,75.2,64,40,9.17
448,tornio,61.12,38.62,100,40,3.36
449,pavino,55.02,44.6,75,0,11.18
450,fort nelson,58.81,32.0,71,75,2.24
451,trapani,38.02,63.61,88,20,3.36
452,cabedelo,-6.97,73.4,100,75,4.7
453,batemans bay,-35.71,72.72,55,12,6.06
454,fare,-16.7,76.41,100,44,25.97
455,miguel calmon,-11.43,67.14,81,64,8.63
456,dudinka,69.41,34.29,94,36,5.84
457,verkhnyaya sysert,56.44,46.4,75,0,4.47
458,almetyevsk,54.9,51.84,54,56,12.21
459,orangeburg,33.49,71.28,90,1,4.7
460,tongren,27.72,71.28,48,80,4.94
461,beyneu,45.32,68.85,43,0,4.61
462,santa fe do sul,-20.21,72.54,84,8,2.59
463,murakami,38.29,69.8,60,20,9.17
464,bilma,18.69,80.81,27,24,6.31
465,nuuk,64.17,33.8,100,76,12.75
466,bereda,43.27,48.2,93,0,3.36
467,novyy urengoy,66.08,39.51,89,56,9.08
468,faya,18.39,62.6,36,0,4.38
469,narsaq,60.91,35.6,43,80,8.05
470,vila,45.18,45.52,93,0,5.82
471,krasnyy chikoy,50.36,64.35,44,0,6.73
472,chaoyang,41.58,76.14,37,0,4.94
473,nouadhibou,20.93,79.91,63,88,17.72
474,mineiros,-17.57,68.22,82,12,2.37
475,ville-marie,47.33,46.4,87,90,2.24
476,kautokeino,69.01,19.89,92,8,5.84
477,bubaque,11.28,80.36,100,20,10.78
478,dzhebariki-khaya,62.22,39.24,78,88,4.16
479,kidero,42.19,57.42,82,0,0.92
480,honningsvag,70.98,39.2,100,75,14.99
481,asyut,27.18,75.2,57,0,6.93
482,churu,28.3,94.14,34,36,9.98
483,lac du bonnet,50.25,40.5,100,92,11.43
484,at-bashi,41.17,53.73,48,0,0.58
485,sangar,63.92,36.62,82,80,2.95
486,anahuac,29.77,79.2,83,20,13.87
487,caravelas,-17.73,77.21,100,92,16.26
488,nantucket,41.28,67.06,93,90,18.34
489,stara synyava,49.6,45.45,84,20,11.99
490,sakhipur,24.3,91.4,63,40,8.05
491,carlow,52.84,51.8,100,75,13.87
492,tambun,4.62,88.83,62,75,4.7
493,brae,60.4,45.63,48,56,6.93
494,ojinaga,29.56,77.22,42,76,6.51
495,tawau,4.26,89.6,62,75,6.93
496,kamenka,53.19,52.28,97,80,7.31
497,djibo,14.1,71.28,86,0,2.93
498,biskamzha,53.45,36.99,74,68,4.27
499,malanje,-9.54,65.43,97,88,3.38
500,walvis bay,-22.95,55.4,82,8,11.41
501,gadsden,34.01,69.6,100,1,2.37
502,ilheus,-14.79,78.8,74,40,5.82
503,elizabeth city,36.3,72.63,84,1,9.17
504,ngunguru,-35.62,59.76,99,32,10.65
505,sumenep,-7.02,83.97,92,20,11.88
506,madison,43.07,54.41,89,90,5.82
507,zimovniki,47.15,63.81,100,44,7.96
508,kardla,58.44,42.8,81,80,5.82
509,george town,5.42,87.55,66,75,5.82
510,wana,32.31,75.33,29,0,3.15
511,mogadishu,2.04,80.6,74,40,12.75
512,campoverde,41.54,61.36,82,75,10.29
513,juneau,58.3,38.53,13,90,3.36
514,glenwood springs,39.55,51.76,93,90,17.22
515,chicama,-7.84,62.6,88,90,9.17
516,haines junction,60.75,21.51,87,0,2.93
517,resistencia,-27.45,64.4,77,90,6.93
518,tiznit,29.7,65.25,96,20,4.05
519,san ramon,12.92,64.44,95,0,1.81
520,auki,12.18,72.9,95,0,9.08
521,rabo de peixe,37.8,69.8,88,40,13.87
522,sao joao da barra,-21.64,76.32,95,76,27.09
523,cizre,37.33,79.38,40,0,4.27
524,itororo,-15.12,67.5,95,88,3.38
525,severo-kurilsk,50.68,48.68,97,80,18.39
526,todi,42.78,51.8,81,20,9.17
527,satte,36.07,72.86,60,20,4.5
528,kisangani,0.52,73.44,99,92,2.93
529,varzea da palma,-17.6,72.27,67,24,2.82
530,namatanai,-3.66,86.67,89,20,2.59
531,tarakan,3.3,87.12,81,12,2.37
532,mangla,32.54,68.58,40,0,2.37
533,maniitsoq,65.42,29.61,100,88,10.2
534,mehamn,71.03,39.2,100,75,14.99
535,sechura,-5.56,66.15,90,44,9.19
536,bure,10.52,72.72,84,24,3.38
537,zhigansk,66.77,38.34,92,76,4.94
538,koslan,63.46,43.83,98,92,8.08
539,sorland,67.67,39.2,86,40,6.93
540,luanda,-8.83,73.4,88,75,4.7
541,balabac,7.99,85.23,100,0,7.85
542,ostersund,63.18,33.8,100,75,3.36
543,bandarban,22.2,87.8,70,75,2.93
544,slave lake,55.28,30.2,54,1,10.29
545,kavaratti,10.57,83.24,100,0,4.41
546,puerto escondido,15.86,84.15,100,32,6.96
547,ayolas,-27.39,61.29,96,56,10.98
548,simpang,4.82,88.74,62,75,4.7
549,qaqortoq,60.72,35.6,43,92,8.05
